,token_id,type,height,segments,spectrum,color_spread,steps_between,color_direction
1896,1896,Slinky,3,16,Normal,42,50,Forward
1897,1897,Normal,3,20,Normal,46,200,Reverse
1898,1898,Normal,3,16,Normal,28,200,Forward
1899,1899,Normal,3,13,Normal,13,200,Forward
1900,1900,Pipe,3,16,Normal,12,50,Reverse
1901,1901,Normal,3,12,Normal,23,200,Reverse
1902,1902,Normal,3,14,Normal,37,200,Forward
1903,1903,Normal,3,17,Normal,34,200,Reverse
1904,1904,Slinky,3,12,Normal,28,50,Forward
1905,1905,Normal,3,13,Normal,36,200,Forward
1906,1906,Normal,3,17,Normal,18,200,Reverse
1907,1907,Bold,3,18,Normal,31,200,Forward
1908,1908,Normal,3,19,Normal,28,200,Reverse
1909,1909,Normal,3,19,Normal,47,200,Forward
1910,1910,Fuzzy,3,13,Normal,37,1000,Reverse
1911,1911,Bold,3,18,Normal,35,200,Forward
1912,1912,Slinky,3,13,Normal,22,50,Forward
1913,1913,Fuzzy,3,18,Normal,42,1000,Forward
1914,1914,Ribbed,3,19,Normal,26,200,Forward
1915,1915,Normal,3,12,Normal,33,200,Reverse
1916,1916,Normal,3,18,Normal,39,200,Forward
1917,1917,Bold,3,14,Normal,39,200,Reverse
1918,1918,Ribbed,3,20,Normal,47,200,Reverse
1919,1919,Normal,3,16,Normal,11,200,Forward
1920,1920,Bold,3,16,Normal,32,200,Reverse
1921,1921,Normal,3,19,Normal,26,200,Forward
1922,1922,Slinky,3,13,Normal,12,50,Reverse
1923,1923,Normal,3,12,Normal,20,200,Reverse
1924,1924,Bold,3,13,Normal,43,200,Reverse
1925,1925,Normal,3,14,Normal,42,200,Forward
1926,1926,Normal,3,12,Normal,5,200,Reverse
1927,1927,Slinky,3,17,Normal,6,50,Reverse
1928,1928,Slinky,3,16,Normal,7,50,Reverse
1929,1929,Normal,3,16,Normal,40,200,Reverse
1930,1930,Normal,3,16,Normal,36,200,Reverse
1931,1931,Normal,3,15,Normal,28,200,Reverse
